ass1;ass2;sol
05.565;05.585;0.0762195121951219
05.565;05.586;0.144817073170732
05.565;05.587;0.135670731707317
05.565;05.588;0
05.565;05.589;0.274390243902439
05.565;05.590;0.144817073170732
05.565;05.591;0.18140243902439
05.565;05.592;0.236280487804878
05.565;05.593;0
05.565;05.594;0
05.565;05.595;0
05.565;05.596;0
05.565;05.597;0.135670731707317
05.565;05.598;0.201219512195122
05.565;05.599;0.18140243902439
05.565;05.600;0
05.565;05.601;0.246951219512195
05.565;05.604;0
05.565;05.607;0
05.565;05.611;0.144817073170732
05.565;05.613;0.144817073170732
05.565;05.614;0.332317073170732
05.565;05.615;0
05.565;05.616;0
05.565;22.400;0.144817073170732
05.566;05.554;0.140243902439024
05.566;05.555;0.128048780487805
05.566;05.556;0.114329268292683
05.566;05.557;0.170731707317073
05.566;05.558;0.160060975609756
05.566;05.559;0
05.566;05.560;0
05.566;05.561;0.140243902439024
05.566;05.562;0.117378048780488
05.566;05.563;0
05.566;05.564;0.134146341463415
05.566;05.565;0.140243902439024
05.566;05.566;0
05.566;05.567;0.126524390243902
05.566;05.568;0.0792682926829268
05.566;05.569;0.11280487804878
05.566;05.570;0.365853658536585
05.566;05.571;0.120426829268293
05.566;05.572;0.184451219512195
05.566;05.573;0.184451219512195
05.566;05.574;0.140243902439024
05.566;05.575;0.346036585365854
05.566;05.576;0.140243902439024
05.566;05.577;0
05.566;05.578;0
05.566;05.579;0.0731707317073171
05.566;05.580;0
05.566;05.581;0.140243902439024
05.566;05.582;0.115853658536585
05.566;05.583;0.225609756097561
05.566;05.584;0.129573170731707
05.566;05.585;0.0853658536585366
05.566;05.586;0.140243902439024
05.566;05.587;0.13109756097561
05.566;05.588;0
05.566;05.589;0.263719512195122
05.566;05.590;0.140243902439024
05.566;05.591;0.161585365853659
05.566;05.592;0.228658536585366
05.566;05.593;0
05.566;05.594;0
05.566;05.595;0
05.566;05.596;0
05.566;05.597;0.129573170731707
05.566;05.598;0.192073170731707
05.566;05.599;0.164634146341463
05.566;05.600;0
05.566;05.601;0.246951219512195
05.566;05.604;0
05.566;05.607;0
05.566;05.611;0.140243902439024
05.566;05.613;0.140243902439024
05.566;05.614;0.321646341463415
05.566;05.615;0
05.566;05.616;0
05.566;22.400;0.140243902439024
05.567;05.554;0.13109756097561
05.567;05.555;0.125
05.567;05.556;0.115853658536585
05.567;05.557;0.160060975609756
05.567;05.558;0.155487804878049
05.567;05.559;0
05.567;05.560;0
05.567;05.561;0.13109756097561
05.567;05.562;0.120426829268293
05.567;05.563;0
05.567;05.564;0.123475609756098
05.567;05.565;0.138719512195122
05.567;05.566;0.126524390243902
05.567;05.567;0
05.567;05.568;0.0823170731707317
05.567;05.569;0.103658536585366
05.567;05.570;0.347560975609756
05.567;05.571;0.11890243902439
05.567;05.572;0.166158536585366
05.567;05.573;0.18140243902439
05.567;05.574;0.13109756097561
05.567;05.575;0.295731707317073
05.567;05.576;0.13109756097561
05.567;05.577;0
05.567;05.578;0
05.567;05.579;0.0746951219512195
05.567;05.580;0
05.567;05.581;0.123475609756098
05.567;05.582;0.106707317073171
05.567;05.583;0.214939024390244
05.567;05.584;0.117378048780488
05.567;05.585;0.0746951219512195
05.567;05.586;0.13109756097561
05.567;05.587;0.121951219512195
05.567;05.588;0
05.567;05.589;0.24390243902439
05.567;05.590;0.13109756097561
05.567;05.591;0.157012195121951
05.567;05.592;0.217987804878049
05.567;05.593;0
05.567;05.594;0
05.567;05.595;0
05.567;05.596;0
05.567;05.597;0.121951219512195
05.567;05.598;0.178353658536585
05.567;05.599;0.163109756097561
05.567;05.600;0
05.567;05.601;0.216463414634146
05.567;05.604;0
05.567;05.607;0
05.567;05.611;0.13109756097561
05.567;05.613;0.13109756097561
05.567;05.614;0.304878048780488
05.567;05.615;0
05.567;05.616;0
05.567;22.400;0.13109756097561
05.568;05.554;0.0762195121951219
